Date,rain
2024-04-30 12:26:06,1
2024-04-30 13:36:06,0
2024-04-30 14:36:06,1
2024-04-30 15:36:06,2
2024-04-30 16:30:07,0
2024-04-30 17:30:07,0
2024-04-30 18:30:07,3
2024-04-30 19:30:07,0
2024-04-30 20:39:30,8
2024-04-30 21:39:30,6
2024-04-30 22:39:30,7
2024-04-30 23:39:30,3
2024-05-01 00:03:31,0
2024-05-01 01:03:31,0
2024-05-01 02:03:31,0
2024-05-01 03:03:31,0
2024-05-01 04:03:31,0
2024-05-01 05:03:31,1
2024-05-01 06:03:31,0
2024-05-01 07:03:31,0
2024-05-01 08:03:31,0
2024-05-01 09:11:29,1
2024-05-01 10:11:29,1
2024-05-01 11:11:29,3
2024-05-01 12:11:29,5
2024-05-01 13:16:51,11
2024-05-01 14:16:51,8
2024-05-01 15:52:54,1
